X,Y,objectid,pws_id,pws_type,county,owner,federal_id,state_id,source_name,well_yield_gpm,well_depth,reg_name,system_name,system_address,system_city,system_state,system_zip,system_connections,system_population,owner_address,owner_city,owner_state,owner_zip,wsw_class,intake_location,source_availability,source_type,pws_type_description
400522.617397421,211694.116300343,26,NC0118015   ,Community,CATAWBA,"NEWTON, CITY OF",39052,S01,JACOB FORK/CATAWBA RIV,,,MOORESVILLE REGIONAL OFFICE,"NEWTON, CITY OF",1780 HWY 10 WEST,NEWTON,NC,28658,6265,15913,PO BOX 550,NEWTON,NC,28658,WS-III,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
156258.47949741,157568.17580034,27,NC0120010   ,Community,CHEROKEE,"MURPHY, TOWN OF",39056,S01,HIWASSEE RIVER,,,ASHEVILLE REGIONAL OFFICE,"MURPHY, TOWN OF",4122 EAST US 64 ALT,MURPHY,NC,28906,1771,4498,PO BOX 130,MURPHY,NC,28906,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
169884.72779741,174780.621600337,28,NC0120020   ,Community,CHEROKEE,"ANDREWS, TOWN OF",39058,S01,BEAVER CREEK RESERVOIR,,,ASHEVILLE REGIONAL OFFICE,"ANDREWS, TOWN OF",800 HOLLAND FARM RD,ANDREWS,NC,28901,1289,3274,PO BOX 1210,ANDREWS,NC,28901,WS-II,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
168866.877597411,173598.80760034,29,NC0120020   ,Community,CHEROKEE,"ANDREWS, TOWN OF",39059,S02,DAN HOLLAND CREEK RESERVIOR,,,ASHEVILLE REGIONAL OFFICE,"ANDREWS, TOWN OF",800 HOLLAND FARM RD,ANDREWS,NC,28901,1289,3274,PO BOX 1210,ANDREWS,NC,28901,WS-II,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
376470.605597422,175557.345300345,30,NC0123010   ,Community,CLEVELAND,CITY OF SHELBY,39061,S01,FIRST BROAD RIVER,,,MOORESVILLE REGIONAL OFFICE,"SHELBY, CITY OF",801 W GROVER STREET,SHELBY,NC,28150,10178,20353,PO BOX 207,SHELBY,NC,28151,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
386422.156197419,172117.704200348,31,NC0123020   ,Community,CLEVELAND,"KINGS MOUNTAIN, CITY OF",39063,S01,MOSS LAKE,,,MOORESVILLE REGIONAL OFFICE,"KINGS MOUNTAIN, TOWN OF",-,KINGS MTN,NC,28086,5311,13490,PO BOX 429,KINGS MOUNTAIN,NC,28086,WS-III,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
377082.37449742,189154.616900347,32,NC0123055   ,Community,CLEVELAND,CLEVELAND COUNTY WATER,39064,S01,1ST BROAD RIVER,,,MOORESVILLE REGIONAL OFFICE,CLEVELAND COUNTY WATER,435 CASAR-LAWNDALE RD,LAWNDALE,NC,28090,21668,55037,PO BOX 788,LAWNDALE,NC,28090,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
377109.15659742,189164.690100348,33,NC0123055   ,Community,CLEVELAND,CLEVELAND COUNTY WATER,65914,S02,KNOB CREEK,,,MOORESVILLE REGIONAL OFFICE,CLEVELAND COUNTY WATER,435 CASAR-LAWNDALE RD,LAWNDALE,NC,28090,21668,55037,PO BOX 788,LAWNDALE,NC,28090,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
428716.659197421,177630.221600344,34,NC0136010   ,Community,GASTON,"GASTONIA, CITY OF",39066,S02,MTN ISLAND LAKE,,,MOORESVILLE REGIONAL OFFICE,TWO RIVERS UTILITIES,250 W LONG AVE,GASTONIA,NC,28052,31709,91491,PO BOX 1748,GASTONIA,NC,28053,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
426637.709997425,167251.40500035,35,NC0136015   ,Community,GASTON,"BELMONT, CITY OF",39068,S01,CATAWBA RIV-LAKE WYLIE,,,MOORESVILLE REGIONAL OFFICE,"BELMONT, CITY OF",-,BELMONT,NC,28012,6778,11613,PO BOX 431,BELMONT,NC,28012,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
428765.806997419,177573.758900348,36,NC0136020   ,Community,GASTON,"MOUNT HOLLY, CITY OF",39069,S01,MOUNTAIN ISLAND LAKE,,,MOORESVILLE REGIONAL OFFICE,"MOUNT HOLLY, CITY OF",111 MT ISLAND RD,MT HOLLY,NC,28120,7033,17780,PO BOX 406,MT HOLLY,NC,28120,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
400530.759897419,173969.215500347,37,NC0136025   ,Community,GASTON,"BESSEMER CITY, CITY OF",39070,S11,ARROWWOOD LAKE,,,MOORESVILLE REGIONAL OFFICE,"BESSEMER CITY, CITY OF",298 LOGAN STREET,BESSEMER CITY,NC,28016,2408,5500,125 EAST VIRGINIA AVE,BESSEMER CITY,NC,28016,WS-II,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
399928.970097422,174825.930800347,38,NC0136025   ,Community,GASTON,"BESSEMER CITY, CITY OF",39071,S10,LONG CREEK,,,MOORESVILLE REGIONAL OFFICE,"BESSEMER CITY, CITY OF",298 LOGAN STREET,BESSEMER CITY,NC,28016,2408,5500,125 EAST VIRGINIA AVE,BESSEMER CITY,NC,28016,WS-II,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
394564.474597426,187946.693000346,39,NC0136030   ,Community,GASTON,"CHERRYVILLE, CITY OF",39072,S01,INDIAN CREEK,,,MOORESVILLE REGIONAL OFFICE,"CHERRYVILLE, CITY OF",812 TOT DELLINGER RD,CHERRYVILLE,NC,28021,3034,6006,116 S MOUNTAIN ST,CHERRYVILLE,NC,28021,WS-II,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
415619.218897418,177494.551100347,40,NC0136065   ,Community,GASTON,"DALLAS, TOWN OF",39075,S01,S FORK CATAWBA RIVER,,,MOORESVILLE REGIONAL OFFICE,"DALLAS, TOWN OF",1342 DALLAS-STANLEY HWY 275,DALLAS,NC,28034,2922,7422,210 NORTH HOLLAND STREET,DALLAS,NC,28034,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
170893.256297417,179435.018800342,41,NC0138010   ,Community,GRAHAM,TOWN OF ROBBINSVILLE,39078,S03,BURGIN CREEK,,,ASHEVILLE REGIONAL OFFICE,"ROBBINSVILLE, TOWN OF",HWY 129 BYPASS,ROBBINSVILLE,NC,28771,1148,2916,PO BOX 126,ROBBINSVILLE,NC,28771,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
171228.557497412,179019.559700342,42,NC0138010   ,Community,GRAHAM,TOWN OF ROBBINSVILLE,39080,S04,LONG CREEK,,,ASHEVILLE REGIONAL OFFICE,"ROBBINSVILLE, TOWN OF",HWY 129 BYPASS,ROBBINSVILLE,NC,28771,1148,2916,PO BOX 126,ROBBINSVILLE,NC,28771,WS-I,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
171556.758697414,180317.815100336,43,NC0138010   ,Community,GRAHAM,TOWN OF ROBBINSVILLE,39081,S02,ROCK CREEK,,,ASHEVILLE REGIONAL OFFICE,"ROBBINSVILLE, TOWN OF",HWY 129 BYPASS,ROBBINSVILLE,NC,28771,1148,2916,PO BOX 126,ROBBINSVILLE,NC,28771,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
173627.787297413,199439.733000338,44,NC0138101   ,Community,GRAHAM,TOWN OF FONTANA DAM,39082,S01,FONTANA LAKE,,,ASHEVILLE REGIONAL OFFICE,TOWN OF FONTANA DAM,12574 FONTANA RD,FONTANA DAM,NC,28733,165,950,PO BOX 128,FONTANA DAM,NC,28733,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
245652.523097413,193110.931500338,45,NC0144010   ,Community,HAYWOOD,"WAYNESVILLE, TOWN OF",39083,S01,ALLENS CREEK RESERVOIR,,,ASHEVILLE REGIONAL OFFICE,"WAYNESVILLE, TOWN OF",341 ROCKY BRANCH RD,WAYNESVILLE,NC,28786,7779,19758,PO BOX 100,WAYNESVILLE,NC,28786,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
260564.508897421,203650.964400342,46,NC0144015   ,Community,HAYWOOD,"CANTON, TOWN OF",39084,S01,PIGEON RIVER,,,ASHEVILLE REGIONAL OFFICE,"CANTON, TOWN OF",52 ENGLAND RD,CANTON,NC,28716,3670,7799,PO BOX 987,CANTON,NC,28716,WS-III,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
238041.286397414,203483.504500344,47,NC0144040   ,Community,HAYWOOD,MAGGIE VALLEY SANITARY DIST,39086,S01,CAMPBELL'S CREEK,,,ASHEVILLE REGIONAL OFFICE,MAGGIE VALLEY SANITARY DIST,45 WATER PLANT ROAD,MAGGIE VALLEY,NC,28751,3751,9527,PO BOX 1029,MAGGIE VALLEY,NC,28751,WS-III,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
237354.219597417,204021.988900339,48,NC0144040   ,Community,HAYWOOD,MAGGIE VALLEY SANITARY DIST,39087,S02,JONATHANS CREEK,,,ASHEVILLE REGIONAL OFFICE,MAGGIE VALLEY SANITARY DIST,45 WATER PLANT ROAD,MAGGIE VALLEY,NC,28751,3751,9527,PO BOX 1029,MAGGIE VALLEY,NC,28751,WS-III,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
276106.331397418,186022.716800341,49,NC0145010   ,Community,HENDERSON,"HENDERSONVILLE, CITY OF",39089,S2A,BRADLEY CREEK,,,ASHEVILLE REGIONAL OFFICE,"HENDERSONVILLE, CITY OF",4139 HAYWOOD  RD,MILLS RIVER,NC,28759,29950,76073,160 6TH AVENUE EAST,HENDERSONVILLE,NC,28792,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
285564.812397416,187930.590800341,50,NC0145010   ,Community,HENDERSON,"HENDERSONVILLE, CITY OF",39090,S01,MILLS RIVER,,,ASHEVILLE REGIONAL OFFICE,"HENDERSONVILLE, CITY OF",4139 HAYWOOD  RD,MILLS RIVER,NC,28759,29950,76073,160 6TH AVENUE EAST,HENDERSONVILLE,NC,28792,WS-II,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
275905.361497415,191409.813500337,51,NC0145010   ,Community,HENDERSON,"HENDERSONVILLE, CITY OF",39091,S2B,NO FORK-MILLS RIVER,,,ASHEVILLE REGIONAL OFFICE,"HENDERSONVILLE, CITY OF",4139 HAYWOOD  RD,MILLS RIVER,NC,28759,29950,76073,160 6TH AVENUE EAST,HENDERSONVILLE,NC,28792,WS-I,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
439652.961997422,236913.567600345,52,NC0149010   ,Community,IREDELL,"STATESVILLE, CITY OF",39097,S01,SOUTH FORK YADKIN RIVER,,,MOORESVILLE REGIONAL OFFICE,"STATESVILLE, CITY OF",232 PUMP STATION RD,STATESVILLE,NC,28677,12205,26867,PO BOX 1111,STATESVILLE,NC,28687,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
420940.680997426,225588.199500343,53,NC0149010   ,Community,IREDELL,"STATESVILLE, CITY OF",68214,SW2,LOOKOUT SHOALS,,,MOORESVILLE REGIONAL OFFICE,"STATESVILLE, CITY OF",232 PUMP STATION RD,STATESVILLE,NC,28677,12205,26867,PO BOX 1111,STATESVILLE,NC,28687,WS-IV,Class 1,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
438173.868197421,208693.946300343,54,NC0149015   ,Community,IREDELL,"MOORESVILLE, TOWN OF",39098,S01,LAKE NORMAN,,,MOORESVILLE REGIONAL OFFICE,MOORESVILLE TOWN OF,2566 CHARLOTTE HWY (HWY 21 N),MOORESVILLE,NC,28117,19509,49552,PO BOX 878,MOORESVILLE,NC,28115,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
230357.144097411,181500.772600338,55,NC0150035   ,Community,JACKSON,TUCKASEIGEE WATER & SEWER AUTH,39102,S01,TUCKASEGEE RIVER,,,ASHEVILLE REGIONAL OFFICE,TUCKASEIGEE WATER & SEWER AUTH,3697 CULLOWHEE RD,CULLOWHEE,NC,28723,2884,7325,1246 WEST MAIN ST,SYLVA,NC,28779,WS-III,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
230035.923397416,181568.580400344,56,NC0150116   ,Community,JACKSON,WESTERN CAROLINA UNIVERSITY,39103,S01,TUCKASEIGEE RIVER,,,ASHEVILLE REGIONAL OFFICE,WESTERN CAROLINA UNIV WTP,3476  OLD CULLOWHEE RD,CULLOWHEE,NC,28723,78,7700,3476  OLD CULLOWHEE RD,CULLOWHEE,NC,28723,WS-III,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
402551.988697419,194506.292300345,57,NC0155010   ,Community,LINCOLN,"LINCOLNTON, CITY OF",39109,S01,S FORK CATAWBA RIVER,,,MOORESVILLE REGIONAL OFFICE,"LINCOLNTON, CITY OF",1338 REEPSVILLE RD,LINCOLNTON,NC,28092,5607,11589,PO BOX 617,LINCOLNTON,NC,28093,WS-IV,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
429186.897597418,199062.391000343,58,NC0155035   ,Community,LINCOLN,LINCOLN COUNTY PUBLIC WORKS,39111,S01,LAKE NORMAN,,,MOORESVILLE REGIONAL OFFICE,LINCOLN COUNTY WTP,7674 TREE FARM RD,DENVER,NC,28037,16860,42824,115 WEST MAIN STREET,LINCOLNTON,NC,28092,WS-IV,Class 3,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
333127.383897421,219331.569300344,59,NC0156010   ,Community,MCDOWELL,MARION CITY OF,39112,S01,BUCK CREEK,,,ASHEVILLE REGIONAL OFFICE,"MARION, CITY OF",891 OLD GREENLEE RD,MARION,NC,28752,3686,9362,PO DRAWER 700,MARION,NC,28752,WS-II,Direct Stream,Permanent,Surface Water,"Serves 15+ connections or regularly serves 25+ year-round residents. ex. cities, towns, subdivisions."
